CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6854391,1,1,Y,M,22,B,-,E,B,G,,-,3,-,,31,22107,,A,N,1,0,C,1993,FORD,D,22,,W,,-,-,2014
6989589,1,1,Y,M,24,A,-,S,P,W,,-,3,-,-,"- ",,,N,-,0,1,B,,KAWASAKI,C,02,,B,,-,-,2015
9727891,1,1,Y,M,25,A,-,N,P,W,Y,-,3,-,-,"- ",,,N,-,0,2,E,2023,-,C,02,,W,,-,-,2024
91322162,1,1,Y,F,20,A,-,E,L,H,Y,-,3,-,-,"- ",,,N,-,0,1,C,2005,HONDA,A,01,,H,,-,-,2020
91358297,1,1,N,-,998,G,G,E,B,B,N,-,3,-,-,"- ",,,N,-,0,0,B,,-,-,99,,,,-,-,2020
91358297,2,2,Y,M,58,B,E,N,-,-,O,-,3,-,-,"- ",,,N,-,1,0,-,,-,N,60,,W,,-,-,2020
91358297,3,1,N,-,998,G,G,E,B,B,N,-,3,-,-,"- ",,,N,-,0,0,B,,-,-,99,,,,-,-,2020
91663383,1,2,N,M,23,C,-,W,-,-,O,-,3,-,-,"- ",,,N,-,1,0,-,,-,N,60,,H,,-,-,2021
91663383,2,1,Y,M,41,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2001,CHEV,A,08,,H,,-,-,2021
92243142,1,1,Y,M,42,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,1,1,E,2008,HOND,A,01,,H,,-,-,2023
92243142,2,1,N,M,46,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2021,CHEV,D,22,,W,,-,-,2023
6732429,1,1,Y,M,39,B,-,S,L,G,N,-,3,-,,31,22107,,A,-,0,1,C,2000,HONDA,A,01,,H,,-,-,2014
9060791,1,1,Y,M,28,H,H,N,M,-,Y,-,3,-,-,"- ",,,N,-,0,1,O,2013,-,G,27,31,W,,-,-,2020
9060791,2,1,N,M,61,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2002,CHEVROLET,A,08,,H,,-,-,2020
9390755,1,1,Y,-,998,G,G,S,-,-,,-,-,-,-,"- ",,,M,N,0,1,B,,-,A,01,,,,-,-,2021
9390755,2,1,N,F,19,A,-,W,N,W,,-,3,-,-,"- ",,,-,-,0,0,B,2008,-,C,02,,W,,-,-,2021
9763272,1,1,Y,M,89,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2017,-,A,01,,W,,-,-,2024
9763272,2,1,N,M,36,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,1998,-,D,22,,H,,-,-,2024
91331962,1,1,Y,M,35,B,-,E,L,G,Y,-,3,-,,25,22350,,A,-,0,1,B,2007,CHEVY,D,22,,H,,-,-,2020
91331962,2,1,N,M,43,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,4,B,2012,HYUN,A,01,,H,,-,-,2020
